index,sepal_length,sepal_width,petal_length,petal_width,species,species_id
14,5.8,4.0,1.2,0.2,setosa,1
98,5.1,2.5,3.0,1.1,versicolor,2
75,6.6,3.0,4.4,1.4,versicolor,2
16,5.4,3.9,1.3,0.4,setosa,1
131,7.9,3.8,6.4,2.0,virginica,3
56,6.3,3.3,4.7,1.6,versicolor,2
141,6.9,3.1,5.1,2.3,virginica,3
44,5.1,3.8,1.9,0.4,setosa,1
29,4.7,3.2,1.6,0.2,setosa,1
120,6.9,3.2,5.7,2.3,virginica,3
94,5.6,2.7,4.2,1.3,versicolor,2
5,5.4,3.9,1.7,0.4,setosa,1
102,7.1,3.0,5.9,2.1,virginica,3
51,6.4,3.2,4.5,1.5,versicolor,2
78,6.0,2.9,4.5,1.5,versicolor,2
42,4.4,3.2,1.3,0.2,setosa,1
92,5.8,2.6,4.0,1.2,versicolor,2
66,5.6,3.0,4.5,1.5,versicolor,2
31,5.4,3.4,1.5,0.4,setosa,1
35,5.0,3.2,1.2,0.2,setosa,1
90,5.5,2.6,4.4,1.2,versicolor,2
84,5.4,3.0,4.5,1.5,versicolor,2
77,6.7,3.0,5.0,1.7,versicolor,2
40,5.0,3.5,1.3,0.3,setosa,1
125,7.2,3.2,6.0,1.8,virginica,3
99,5.7,2.8,4.1,1.3,versicolor,2
33,5.5,4.2,1.4,0.2,setosa,1
19,5.1,3.8,1.5,0.3,setosa,1
73,6.1,2.8,4.7,1.2,versicolor,2
146,6.3,2.5,5.0,1.9,virginica,3
91,6.1,3.0,4.6,1.4,versicolor,2
135,7.7,3.0,6.1,2.3,virginica,3
69,5.6,2.5,3.9,1.1,versicolor,2
128,6.4,2.8,5.6,2.1,virginica,3
114,5.8,2.8,5.1,2.4,virginica,3
48,5.3,3.7,1.5,0.2,setosa,1
53,5.5,2.3,4.0,1.3,versicolor,2
28,5.2,3.4,1.4,0.2,setosa,1
54,6.5,2.8,4.6,1.5,versicolor,2
108,6.7,2.5,5.8,1.8,virginica,3
112,6.8,3.0,5.5,2.1,virginica,3
17,5.1,3.5,1.4,0.3,setosa,1
119,6.0,2.2,5.0,1.5,virginica,3
103,6.3,2.9,5.6,1.8,virginica,3
58,6.6,2.9,4.6,1.3,versicolor,2
118,7.7,2.6,6.9,2.3,virginica,3
18,5.7,3.8,1.7,0.3,setosa,1
4,5.0,3.6,1.4,0.2,setosa,1
45,4.8,3.0,1.4,0.3,setosa,1
59,5.2,2.7,3.9,1.4,versicolor,2
39,5.1,3.4,1.5,0.2,setosa,1
36,5.5,3.5,1.3,0.2,setosa,1
117,7.7,3.8,6.7,2.2,virginica,3
139,6.9,3.1,5.4,2.1,virginica,3
107,7.3,2.9,6.3,1.8,virginica,3
132,6.4,2.8,5.6,2.2,virginica,3
126,6.2,2.8,4.8,1.8,virginica,3
85,6.0,3.4,4.5,1.6,versicolor,2
122,7.7,2.8,6.7,2.0,virginica,3
95,5.7,3.0,4.2,1.2,versicolor,2
11,4.8,3.4,1.6,0.2,setosa,1
113,5.7,2.5,5.0,2.0,virginica,3
123,6.3,2.7,4.9,1.8,virginica,3
12,4.8,3.0,1.4,0.1,setosa,1
2,4.7,3.2,1.3,0.2,setosa,1
104,6.5,3.0,5.8,2.2,virginica,3
6,4.6,3.4,1.4,0.3,setosa,1
127,6.1,3.0,4.9,1.8,virginica,3
110,6.5,3.2,5.1,2.0,virginica,3
65,6.7,3.1,4.4,1.4,versicolor,2
55,5.7,2.8,4.5,1.3,versicolor,2
144,6.7,3.3,5.7,2.5,virginica,3
138,6.0,3.0,4.8,1.8,virginica,3
46,5.1,3.8,1.6,0.2,setosa,1
62,6.0,2.2,4.0,1.0,versicolor,2
